Name,Neighbourhood,Camel,Fraser,YQL
Richard McBride Elementary,Victory Heights,RichardMcBride,http://britishcolumbia.compareschoolrankings.org/elementary/Richard_McBride_Elementary/New_Westminster/Report_Card.aspx,https://query.yahooapis.com/v1/public/yql?q=select%20*%20from%20html%20where%20url%3D%22http%3A%2F%2Fbritishcolumbia.compareschoolrankings.org%2Felementary%2FRichard_McBride_Elementary%2FNew_Westminster%2FReport_Card.aspx%22&format=json&diagnostics=true&callback=
Justice Institute of BC,Glenbrooke South,,,
FW Howay Elementary,Victory Heights,FWHoway,http://britishcolumbia.compareschoolrankings.org/elementary/F_W_Howay_Elementary/New_Westminster/Report_Card.aspx,https://query.yahooapis.com/v1/public/yql?q=select%20*%20from%20html%20where%20url%3D%22http%3A%2F%2Fbritishcolumbia.compareschoolrankings.org%2Felementary%2FF_W_Howay_Elementary%2FNew_Westminster%2FReport_Card.aspx%22&format=json&diagnostics=true&callback=
Queen Elizabeth Elementary,Queensborough,QueenElizabeth,http://britishcolumbia.compareschoolrankings.org/elementary/Queen_Elizabeth_Elementary/New_Westminster/Report_Card.aspx,https://query.yahooapis.com/v1/public/yql?q=select%20*%20from%20html%20where%20url%3D%22http%3A%2F%2Fbritishcolumbia.compareschoolrankings.org%2Felementary%2FQueen_Elizabeth_Elementary%2FNew_Westminster%2FReport_Card.aspx%22&format=json&diagnostics=true&callback=
Queensborough Middle,Queensborough,,,
Connaught Heights Elementary,Connaught Heights,ConnaughtHeights,http://britishcolumbia.compareschoolrankings.org/elementary/Connaught_Heights_Elementary/New_Westminster/Report_Card.aspx,https://query.yahooapis.com/v1/public/yql?q=select%20*%20from%20html%20where%20url%3D%22http%3A%2F%2Fbritishcolumbia.compareschoolrankings.org%2Felementary%2FConnaught_Heights_Elementary%2FNew_Westminster%2FReport_Card.aspx%22&format=json&diagnostics=true&callback=
Lord Tweedsmuir Elementary,Westend,LordTweedsmuir,http://britishcolumbia.compareschoolrankings.org/elementary/Lord_Tweedsmuir_Elementary/New_Westminster/Report_Card.aspx,https://query.yahooapis.com/v1/public/yql?q=select%20*%20from%20html%20where%20url%3D%22http%3A%2F%2Fbritishcolumbia.compareschoolrankings.org%2Felementary%2FLord_Tweedsmuir_Elementary%2FNew_Westminster%2FReport_Card.aspx%22&format=json&diagnostics=true&callback=
Ecole Fraser River Middle,Brow of the Hill,,,
Douglas College,Downtown,,,
Lord Kelvin Elementary,Kelvin,LordKelvin,http://britishcolumbia.compareschoolrankings.org/elementary/Lord_Kelvin_Elementary/New_Westminster/Report_Card.aspx,https://query.yahooapis.com/v1/public/yql?q=select%20*%20from%20html%20where%20url%3D%22http%3A%2F%2Fbritishcolumbia.compareschoolrankings.org%2Felementary%2FLord_Kelvin_Elementary%2FNew_Westminster%2FReport_Card.aspx%22&format=json&diagnostics=true&callback=
Glenbrook Middle,Glenbrooke North,,,
Hume Park Elementary (Closed),Sapperton,,,
New Westminster Secondary,Kelvin,,,
Herbert Spencer Elementary,Glenbrooke North,HerbertSpencer,http://britishcolumbia.compareschoolrankings.org/elementary/Herbert_Spencer_Elementary/New_Westminster/Report_Card.aspx,https://query.yahooapis.com/v1/public/yql?q=select%20*%20from%20html%20where%20url%3D%22http%3A%2F%2Fbritishcolumbia.compareschoolrankings.org%2Felementary%2FHerbert_Spencer_Elementary%2FNew_Westminster%2FReport_Card.aspx%22&format=json&diagnostics=true&callback=
Qayqayt Elementary,Downtown,Qayqayt,http://britishcolumbia.compareschoolrankings.org/elementary/%C3%89cole_Qayqayt_Elementary/New_Westminster/Report_Card.aspx,https://query.yahooapis.com/v1/public/yql?q=select%20*%20from%20html%20where%20url%3D%22http%3A%2F%2Fbritishcolumbia.compareschoolrankings.org%2Felementary%2F%25C3%2589cole_Qayqayt_Elementary%2FNew_Westminster%2FReport_Card.aspx%22&format=json&diagnostics=true&callback=
